Age,Age_AFTER
47,0
47,0
47,0
48,0
48,0
48,0
48,0
48,0
49,0
49,0
50,0
50,0
50,0
51,0
51,0
52,0
52,0
52,0
53,0
53,0
53,0
53,0
53,0
54,0
54,0
54,0
54,0
54,0
54,0
54,0
55,0
55,0
56,0
57,0
57,0
57,0
57,0
58,0
58,0
58,0
59,0
59,0
60,0
33,1
33,1
34,1
34,1
34,1
35,1
35,1
36,1
36,1
36,1
36,1
36,1
37,1
37,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
38,1
39,1
39,1
39,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
41,1
42,1
42,1
42,1
43,1
43,1
43,1
44,1
44,1
44,1
44,1
44,1
44,1
44,1
45,1
45,1
45,1
45,1
45,1
46,1
46,1
46,1
46,1
20,2
20,2
20,2
21,2
21,2
21,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
22,2
23,2
23,2
23,2
23,2
23,2
23,2
23,2
23,2
23,2
23,2
24,2
24,2
24,2
24,2
24,2
24,2
24,2
24,2
24,2
25,2
25,2
25,2
25,2
25,2
25,2
25,2
25,2
26,2
26,2
26,2
26,2
26,2
27,2
27,2
27,2
27,2
27,2
27,2
27,2
28,2
28,2
28,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
29,2
30,2
30,2
30,2
30,2
30,2
30,2
31,2
31,2
31,2
32,2
62,3
63,3
63,3
64,3
64,3
64,3
67,3
69,3
70,3
70,3
71,3
71,3
73,3
73,3
74,3
76,3
80,3
